FIPS,State,County,Alcohol_Impaired_Driving_Deaths,#_Driving_Deaths,%_Driving_Deaths_with_Alcohol_Involvement
6000,California,,5185,18737,28
6001,California,Alameda,111,438,25
6003,California,Alpine,4,15,27
6005,California,Amador,24,68,35
6007,California,Butte,53,186,28
6009,California,Calaveras,22,63,35
6011,California,Colusa,7,45,16
6013,California,Contra Costa,116,399,29
6015,California,Del Norte,12,39,31
6017,California,El Dorado,38,125,30
6019,California,Fresno,189,728,26
6021,California,Glenn,9,41,22
6023,California,Humboldt,55,129,43
6025,California,Imperial,29,156,19
6027,California,Inyo,9,42,21
6029,California,Kern,265,832,32
6031,California,Kings,42,120,35
6033,California,Lake,22,73,30
6035,California,Lassen,18,45,40
6037,California,Los Angeles,792,3668,22
6039,California,Madera,56,170,33
6041,California,Marin,18,68,26
6043,California,Mariposa,12,21,57
6045,California,Mendocino,48,140,34
6047,California,Merced,83,297,28
6049,California,Modoc,2,16,13
6051,California,Mono,13,28,46
6053,California,Monterey,91,242,38
6055,California,Napa,22,77,29
6057,California,Nevada,24,70,34
6059,California,Orange,266,935,28
6061,California,Placer,47,155,30
6063,California,Plumas,15,29,52
6065,California,Riverside,453,1470,31
6067,California,Sacramento,208,799,26
6069,California,San Benito,15,54,28
6071,California,San Bernardino,405,1599,25
6073,California,San Diego,351,1277,27
6075,California,San Francisco,11,155,7
6077,California,San Joaquin,171,579,30
6079,California,San Luis Obispo,60,161,37
6081,California,San Mateo,38,179,21
6083,California,Santa Barbara,61,174,35
6085,California,Santa Clara,147,579,25
6087,California,Santa Cruz,30,97,31
6089,California,Shasta,56,159,35
6091,California,Sierra,1,9,11
6093,California,Siskiyou,17,59,29
6095,California,Solano,62,203,31
6097,California,Sonoma,64,195,33
6099,California,Stanislaus,119,386,31
6101,California,Sutter,30,100,30
6103,California,Tehama,36,92,39
6105,California,Trinity,13,37,35
6107,California,Tulare,141,388,36
6109,California,Tuolumne,19,54,35
6111,California,Ventura,102,262,39
6113,California,Yolo,40,139,29
6115,California,Yuba,21,71,30