State,StateAbbreviation,Primary crop by acre
Alabama,AL,COTTON  UPLAND
Alaska,AK,BARLEY
Arizona,AZ,COTTON  UPLAND
Arkansas,AR,SOYBEANS
California,CA,RICE
Colorado,CO,WHEAT
Connecticut,CT,CORN
Delaware,DE,CORN
Florida,FL,SUGARCANE
Georgia,GA,COTTON  UPLAND
Idaho,ID,WHEAT
Illinois,IL,CORN
Indiana,IN,SOYBEANS
Iowa,IA,CORN
Kansas,KS,WHEAT
Kentucky,KY,SOYBEANS
Louisiana,LA,SOYBEANS
Maine,ME,CORN
Maryland,MD,SOYBEANS
Massachusetts,MA,CORN
Michigan,MI,CORN
Minnesota,MN,CORN
Mississippi,MS,SOYBEANS
Missouri,MO,SOYBEANS
Montana,MT,WHEAT
Nebraska,NE,CORN
Nevada,NV,WHEAT
New Hampshire,NH,CORN
New Jersey,NJ,SOYBEANS
New Mexico,NM,WHEAT
New York,NY,CORN
North Carolina,NC,SOYBEANS
North Dakota,ND,SOYBEANS
Ohio,OH,SOYBEANS
Oklahoma,OK,WHEAT
Oregon,OR,WHEAT
Pennsylvania,PA,CORN
Puerto Rico,PR,CORN
Rhode Island,RI,CORN
South Carolina,SC,CORN
South Dakota,SD,CORN
Tennessee,TN,SOYBEANS
Texas,TX,WHEAT
Utah,UT,WHEAT
Vermont,VT,CORN
Virgin Islands of the U.S.,VI,SUGARCANE
Virginia,VA,SOYBEANS
Washington,WA,WHEAT
West Virginia,WV,CORN
Wisconsin,WI,CORN
Wyoming,WY,WHEAT